,player_name,season,url
79,Victor Claver,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201964.png
80,Norris Cole,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202708.png
81,Jason Collins,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2215.png
82,Darren Collison,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201954.png
83,Nick Collison,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2555.png
84,Mike Conley,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201144.png
85,Daequan Cook,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201161.png
86,Chris Copeland,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203142.png
87,DeMarcus Cousins,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202326.png
88,Jamal Crawford,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2037.png
89,Jordan Crawford,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202348.png
90,Jae Crowder,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203109.png
91,Dante Cunningham,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201967.png
92,Jared Cunningham,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203099.png
93,Stephen Curry,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201939.png
94,Samuel Dalembert,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2223.png
95,Marquis Daniels,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2605.png
96,Anthony Davis,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203076.png
97,Ed Davis,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202334.png
98,Glen Davis,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201175.png
99,Austin Daye,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201948.png
100,Nando De Colo,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201986.png
101,Carlos Delfino,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2568.png
102,Luol Deng,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2736.png
103,DeMar DeRozan,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201942.png
104,Boris Diaw,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2564.png
105,DeSagana Diop,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2205.png
106,Keyon Dooling,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2039.png
107,Toney Douglas,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201962.png
108,Goran Dragic,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201609.png
109,Andre Drummond,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203083.png
110,Jared Dudley,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201162.png
111,Chris Duhon,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2768.png
112,Tim Duncan,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1495.png
113,Mike Dunleavy,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2399.png
114,Kevin Durant,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201142.png
115,Devin Ebanks,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202365.png
116,Wayne Ellington,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201961.png
117,Monta Ellis,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101145.png
118,Kim English,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203119.png
119,Jeremy Evans,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202379.png
120,Reggie Evans,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2501.png
121,Tyreke Evans,2012,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201936.png
